11, 2, white, Entry
14, 2, white, Exit
12, 2, green, Entry
16, 2, green, Exit
6, 1, orange, Entry
30, 1, orange, Exit
22, 2, green, Entry
36, 2, green, Exit
38, 4, green, Entry
40, 4, green, Exit
38, 1, orange, Entry
40, 1, orange, Exit
40, 2, green, Entry
50, 2, green, Exit
51, 2, green, Entry
54, 2, green, Exit
45, 2, orange, Entry
58, 2, orange, Exit
63, 3, yellow, Entry
71, 3, yellow, Exit
72, 1, yellow, Entry
78, 1, yellow, Exit
58, 2, orange, Entry
90, 2, orange, Exit
95, 4, yellow, Entry
100, 4, yellow, Exit
100, 3, yellow, Entry
105, 3, yellow, Exit
100, 2, green, Entry
119, 2, green, Exit
118, 1, orange, Entry
120, 1, orange, Exit
122, 1, orange, Entry
124, 1, orange, Exit
123, 4, green, Entry
129, 4, green, Exit
143, 1, yellow, Entry
149, 1, yellow, Exit
139, 3, green, Entry
154, 3, green, Exit
154, 2, green, Entry
162, 2, green, Exit
160, 2, white, Entry
162, 2, white, Exit
137, 4, orange, Entry
165, 4, orange, Exit
178, 2, yellow, Entry
180, 2, yellow, Exit
180, 4, yellow, Entry
182, 4, yellow, Exit
181, 2, green, Entry
184, 2, green, Exit
182, 3, yellow, Entry
185, 3, yellow, Exit
182, 1, orange, Entry
190, 1, orange, Exit
185, None, yellow, Entry
190, None, yellow, Exit
192, 4, yellow, Entry
196, 4, yellow, Exit
196, 2, yellow, Entry
198, 2, yellow, Exit
195, 1, orange, Entry
198, 1, orange, Exit
198, 3, yellow, Entry
200, 3, yellow, Exit
201, 4, green, Entry
206, 4, green, Exit
202, 4, yellow, Entry
207, 4, yellow, Exit
205, 1, orange, Entry
207, 1, orange, Exit
207, 3, yellow, Entry
209, 3, yellow, Exit
208, 1, orange, Entry
212, 1, orange, Exit
